# data format logged from lagr .. this is local pose info
# timestamp  speed  X   Y   Z   roll  pitch   yaw
1268622016.018059 0.434505 -68.964660 -15.005741 0.141799 -0.036846 0.012973 2.943866
1268622016.068054 0.434140 -68.985971 -15.001386 0.141517 -0.037460 0.012839 2.937041
1268622016.118057 0.433128 -69.007123 -14.996922 0.141227 -0.038414 0.013970 2.931091
1268622016.168047 0.435624 -69.028380 -14.992313 0.140924 -0.039319 0.013621 2.925675
1268622016.218046 0.439324 -69.049872 -14.987528 0.140632 -0.038723 0.013381 2.920401
1268622016.268063 0.434181 -69.070949 -14.982723 0.140341 -0.037502 0.013447 2.915224
1268622016.318049 0.433374 -69.091998 -14.977796 0.140065 -0.037243 0.012560 2.909090
1268622016.368044 0.429157 -69.112756 -14.972795 0.139803 -0.037587 0.012186 2.902410
1268622016.418075 0.437960 -69.134125 -14.967484 0.139555 -0.039384 0.010424 2.894963
1268622016.468044 0.433844 -69.155069 -14.962128 0.139341 -0.041110 0.009551 2.888409
1268622016.518055 0.431409 -69.175983 -14.956651 0.139143 -0.043030 0.008653 2.883230
1268622016.568036 0.428423 -69.196743 -14.951113 0.138994 -0.042628 0.005929 2.879064
1268622016.618049 0.430262 -69.217347 -14.945507 0.138879 -0.041033 0.005134 2.873231
1268622016.668040 0.423119 -69.237523 -14.939858 0.138786 -0.040138 0.003991 2.864907
1268622016.718058 0.416835 -69.257523 -14.934076 0.138678 -0.041943 0.005911 2.857381
1268622016.768044 0.422171 -69.277870 -14.928054 0.138564 -0.045924 0.004671 2.851040
1268622016.818074 0.428503 -69.298562 -14.921789 0.138478 -0.047102 0.003676 2.844809
1268622016.868042 0.434586 -69.319469 -14.915314 0.138399 -0.046615 0.003663 2.838429
1268622016.918051 0.436229 -69.340332 -14.908701 0.138306 -0.045749 0.004497 2.831606
1268622016.968039 0.441187 -69.361274 -14.901896 0.138194 -0.044239 0.005358 2.824207
1268622017.018043 0.437422 -69.382040 -14.894981 0.138078 -0.044935 0.005243 2.817016
1268622017.068040 0.441606 -69.403136 -14.887795 0.137964 -0.045928 0.005047 2.810266
1268622017.118052 0.436858 -69.423807 -14.880602 0.137853 -0.047294 0.005009 2.803728
1268622017.168051 0.441216 -69.444677 -14.873172 0.137756 -0.047076 0.003960 2.796106
1268622017.218049 0.442208 -69.465357 -14.865606 0.137670 -0.045393 0.003958 2.787155
1268622017.268049 0.445832 -69.486089 -14.857799 0.137579 -0.044937 0.004414 2.777091
1268622017.318047 0.450784 -69.506995 -14.849699 0.137467 -0.045018 0.005276 2.768415
1268622017.368061 0.448617 -69.527839 -14.841441 0.137349 -0.046900 0.005386 2.761292
1268622017.418045 0.450281 -69.548747 -14.832984 0.137230 -0.046644 0.004876 2.754605
1268622017.468097 0.451870 -69.569722 -14.824336 0.137141 -0.044041 0.003430 2.747333
1268622017.518051 0.448949 -69.590383 -14.815630 0.137062 -0.043482 0.003442 2.739242
1268622017.568052 0.451771 -69.611103 -14.806721 0.136981 -0.044297 0.003742 2.732910
1268622017.618053 0.450913 -69.631769 -14.797689 0.136908 -0.047134 0.002879 2.727280
1268622017.668051 0.457410 -69.652633 -14.788443 0.136847 -0.048126 0.002633 2.722403
1268622017.718056 0.454395 -69.673212 -14.779213 0.136801 -0.046768 0.001920 2.717941
1268622017.768044 0.449742 -69.693628 -14.769946 0.136763 -0.046090 0.001512 2.713661
