# tstamp	temp	rate	angle	adjusted_rate
1268594649.759075 33.549999 -0.033550 -0.006405 -0.002135
1268594649.859279 33.549999 -0.064050 -0.009668 -0.032635
1268594650.059096 33.549999 -0.033550 -0.010095 -0.002135
1268594650.159102 33.549999 -0.033550 -0.010309 -0.002135
1268594650.259106 33.549999 -0.036600 -0.010827 -0.005185
1268594650.359126 33.549999 -0.036600 -0.011346 -0.005185
1268594650.559127 33.549999 -0.027450 -0.010553 0.003965
1268594650.659137 33.549999 -0.067100 -0.014121 -0.035685
1268594650.759141 33.549999 -0.085400 -0.019520 -0.053985
1268594650.859147 33.549999 -0.051850 -0.021563 -0.020435
1268594650.959154 33.549999 -0.024400 -0.020862 0.007015
1268594651.059161 33.549999 -0.036600 -0.021380 -0.005185
1268594651.159178 33.549999 -0.012200 -0.019459 0.019215
1268594651.359178 33.549999 -0.057950 -0.023851 -0.026535
1268594651.459186 33.549999 -0.051850 -0.025894 -0.020435
1268594651.559194 33.549999 -0.036600 -0.026413 -0.005185
1268594651.659199 33.549999 -0.027450 -0.026016 0.003965
1268594651.759206 33.549999 -0.021350 -0.025010 0.010065
1268594651.859215 33.549999 -0.039650 -0.025833 -0.008235
1268594651.959221 33.549999 -0.036600 -0.026352 -0.005185
1268594652.059225 33.549999 -0.036600 -0.026870 -0.005185
1268594652.159232 33.549999 0.006100 -0.023119 0.037515
1268594652.259239 33.549999 -0.024400 -0.022417 0.007015
1268594652.359247 33.549999 -0.021350 -0.021411 0.010065
1268594652.459262 33.549999 -0.073200 -0.025589 -0.041785
1268594652.659265 33.549999 -0.039650 -0.026016 -0.008235
1268594652.759272 33.549999 -0.070150 -0.029890 -0.038735
1268594652.859278 33.549999 -0.024400 -0.029188 0.007015
1268594652.959284 33.549999 -0.042700 -0.030317 -0.011285
1268594653.059294 33.549999 -0.036600 -0.030835 -0.005185
1268594653.159308 33.549999 0.015250 -0.026169 0.046665
1268594653.367329 33.549999 -0.048800 -0.027206 -0.017385
1268594653.559327 33.549999 -0.070150 -0.032818 -0.038735
1268594653.659340 33.549999 -0.064050 -0.036081 -0.032635
1268594653.859344 33.549999 -0.012200 -0.033458 0.019215
1268594653.959352 33.549999 -0.024400 -0.032757 0.007015
1268594654.059359 33.549999 -0.054900 -0.035105 -0.023485
1268594654.159364 33.549999 -0.024400 -0.034404 0.007015
1268594654.259374 33.549999 -0.048800 -0.036142 -0.017385
1268594654.359381 33.549999 -0.057950 -0.038796 -0.026535
1268594654.459386 33.549999 -0.006100 -0.036264 0.025315
1268594654.559391 33.549999 -0.042700 -0.037393 -0.011285
1268594654.659396 33.549999 -0.021350 -0.036386 0.010065
1268594654.759405 33.549999 -0.024400 -0.035685 0.007015
1268594654.860208 33.549999 -0.024400 -0.034983 0.007015
1268594655.059439 33.549999 -0.009150 -0.033275 0.022265
1268594655.259437 33.549999 -0.036600 -0.036447 -0.005185
1268594655.359454 33.549999 -0.018300 -0.035136 0.013115
1268594655.559456 33.549999 -0.012200 -0.031903 0.019215
1268594655.659464 33.549999 -0.042700 -0.033031 -0.011285
1268594655.759470 33.549999 -0.048800 -0.034770 -0.017385
1268594655.859476 33.549999 -0.003050 -0.031933 0.028365
1268594655.959484 33.549999 -0.082350 -0.037027 -0.050935
1268594656.059489 33.549999 -0.009150 -0.034800 0.022265
1268594656.159496 33.500000 -0.018300 -0.033489 0.013115
1268594656.259501 33.500000 -0.067100 -0.037057 -0.035685
1268594656.359508 33.549999 -0.012200 -0.035136 0.019215
1268594656.459515 33.549999 -0.024400 -0.034434 0.007015
1268594656.559521 33.549999 -0.021350 -0.033428 0.010065
1268594656.659529 33.549999 -0.057950 -0.036081 -0.026535
1268594656.759535 33.549999 -0.042700 -0.037210 -0.011285
1268594656.859542 33.549999 -0.054900 -0.039558 -0.023485
1268594656.959547 33.549999 -0.009150 -0.037332 0.022265
1268594657.059593 33.549999 -0.003050 -0.034495 0.028365
